rxcui,drug_name,eii_score,eii_rank,eii_percentile,eii_tier,ehi_v6_score,ai_readiness_score,claims_readiness_score,clinical_semantics_score,knowledge_graph_score,explainability_score,eii_framework_version,eii_weighting_method
38,Parlodel,23.7652,15944,47.069561,Foundational,36.2574,1.5,32.0,0.0,66.88,11.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
44,mesna,36.2397,12548,58.356564,Foundational,58.299,15.0,50.0,0.0,62.5,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
61,beta-alanine,32.7528,13196,56.209346,Foundational,57.356,15.0,50.0,0.0,30.46,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
73,docosahexaenoate,13.5775,22347,25.839639,Foundational,17.9649,0.0,15.0,0.0,49.38,10.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
74,4-aminobenzoic acid,36.971,12396,58.86433,Foundational,59.2768,15.0,50.0,0.0,66.88,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
90,eicosapentaenoic acid,35.2516,12719,57.789061,Foundational,59.3788,15.0,50.0,0.0,49.38,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
94,5-hydroxytryptophan,35.5727,12657,57.991504,Foundational,58.9924,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
97,ticlopidine hydrochloride,34.4563,12902,57.185052,Foundational,56.2443,13.5,48.0,0.0,57.83,19.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
99,6-aminocaproic acid,35.6783,12636,58.064516,Foundational,59.3443,15.0,50.0,0.0,53.75,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
103,mercaptopurine,36.9536,12399,58.854374,Foundational,59.2187,15.0,50.0,0.0,66.88,20.0,H3A10E_EII_MASTER_V1,"Transparent weighted framework combining healthcare importance, AI readiness, claims readiness, clinical semantics, knowledge graph maturity, and explainability."
